epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9230.56,1.14939,0.72906,1.08769,0.86015,0.94393,0.95287,0.64419,0.54546,0.34216,0.53137,0.00900844,0.00900844,0.00900844
43,9454.36,1.14002,0.73388,1.08884,0.86929,0.90841,0.94764,0.64764,0.53054,0.28149,0.5221,0.00896127,0.00896127,0.00896127
44,9681,1.16364,0.74388,1.07773,0.88777,0.93149,0.96012,0.65489,0.52895,0.27953,0.52207,0.00891313,0.00891313,0.00891313
45,9898.48,1.16677,0.74952,1.09153,0.87323,0.927,0.95422,0.65303,0.53726,0.28174,0.52542,0.00886404,0.00886404,0.00886404
46,10122.3,1.14953,0.75777,1.08756,0.86333,0.92096,0.9545,0.643,0.54171,0.29289,0.52936,0.00881401,0.00881401,0.00881401
47,10342.7,1.14098,0.72272,1.07748,0.87521,0.93271,0.9541,0.64832,0.55085,0.27927,0.52983,0.00876305,0.00876305,0.00876305
48,10564.6,1.15465,0.73299,1.09049,0.86472,0.94388,0.95938,0.65619,0.52982,0.27734,0.52731,0.00871117,0.00871117,0.00871117
49,10782.6,1.1213,0.71231,1.06813,0.88439,0.92939,0.96106,0.65891,0.51879,0.26993,0.51631,0.00865839,0.00865839,0.00865839
50,11004.8,1.13601,0.72413,1.08221,0.87985,0.93458,0.95683,0.65515,0.52383,0.27498,0.51723,0.00860473,0.00860473,0.00860473
51,11219.7,1.10244,0.6883,1.05913,0.86871,0.94766,0.95679,0.6556,0.52371,0.2778,0.51873,0.00855018,0.00855018,0.00855018
52,11436.6,1.14428,0.7415,1.08754,0.8841,0.92682,0.96096,0.65783,0.52551,0.27951,0.51762,0.00849477,0.00849477,0.00849477
53,11653.3,1.14101,0.73092,1.0788,0.88393,0.93953,0.96627,0.66164,0.5218,0.27975,0.51723,0.00843851,0.00843851,0.00843851
54,11871,1.12022,0.69664,1.07167,0.87517,0.94953,0.96413,0.66188,0.52183,0.2726,0.51751,0.00838141,0.00838141,0.00838141
55,12087.2,1.09507,0.6866,1.05849,0.86885,0.94206,0.95488,0.65227,0.53509,0.27936,0.5246,0.00832349,0.00832349,0.00832349
56,12301.2,1.09289,0.70303,1.05159,0.86706,0.93867,0.95441,0.65457,0.53685,0.28111,0.52511,0.00826477,0.00826477,0.00826477
57,12515.7,1.10128,0.699,1.07147,0.8839,0.91071,0.9554,0.65856,0.54182,0.28835,0.52567,0.00820525,0.00820525,0.00820525
58,12732,1.09815,0.68468,1.05972,0.8679,0.9271,0.95532,0.65994,0.54436,0.28131,0.52655,0.00814495,0.00814495,0.00814495
59,12948.2,1.11347,0.70163,1.06741,0.87819,0.91635,0.95211,0.65503,0.53686,0.28455,0.5235,0.00808389,0.00808389,0.00808389
60,13163.9,1.10713,0.6899,1.0621,0.87637,0.92336,0.95336,0.65387,0.54122,0.28198,0.52529,0.00802208,0.00802208,0.00802208
61,13381.4,1.10232,0.70509,1.05536,0.87313,0.9262,0.95766,0.66296,0.53443,0.27187,0.52198,0.00795954,0.00795954,0.00795954
62,13598,1.10809,0.6992,1.06627,0.87299,0.92897,0.95723,0.65976,0.5283,0.27136,0.51904,0.00789628,0.00789628,0.00789628
63,13816,1.09494,0.69574,1.06196,0.85843,0.94019,0.95661,0.65481,0.52751,0.2783,0.51899,0.00783231,0.00783231,0.00783231
64,14036.2,1.08182,0.67859,1.0619,0.85297,0.94393,0.95807,0.66021,0.52685,0.27713,0.51844,0.00776766,0.00776766,0.00776766
65,14249.1,1.08707,0.6776,1.05728,0.86702,0.94019,0.96013,0.65938,0.52564,0.27577,0.51821,0.00770234,0.00770234,0.00770234
66,14467.7,1.06623,0.65041,1.04519,0.86851,0.93832,0.96071,0.65892,0.52982,0.27114,0.5214,0.00763637,0.00763637,0.00763637
67,14685.9,1.09977,0.69653,1.06993,0.87232,0.93226,0.96167,0.66373,0.52705,0.26921,0.52215,0.00756976,0.00756976,0.00756976
68,14903.5,1.08163,0.67754,1.05667,0.84851,0.9514,0.9597,0.66788,0.52409,0.26974,0.5198,0.00750252,0.00750252,0.00750252
69,15119,1.04709,0.65083,1.0442,0.85024,0.95507,0.95987,0.66836,0.52969,0.2721,0.5233,0.00743468,0.00743468,0.00743468
